,E,M,N,spike,nsp1,nsp10,nsp11,nsp12,nsp13,nsp14,nsp15,nsp2,nsp4,nsp5,nsp5_C145A,nsp6,nsp7,nsp8,nsp9,orf10,orf3a,orf3b,orf6,orf7a,orf8,orf9b,orf9c,SARS,IBV,MERS,CoV-229E,CoV-NL63,MHV
Ebastine,0.480651438,1.031968117,0.710964322,0.180120647,0.095833816,0.648361146,0.43031466,0.273551315,0.308104426,0.109888054,-0.254320204,0.585486948,1.084760189,0.462457508,0.567453682,0.483320177,0.427243114,0.116908573,0.089747347,-0.289658785,0.669659734,0.220278963,0.359701902,1.031213164,0.393972933,-0.540887833,0.768745363,0.830350757,0.991815507,0.707261503,0.299091816,0.434814602,1.269145489
Hydroxyethylcysteine,0.763763249,0.843101025,0.539381742,1.13713479,0.192930251,1.19088006,0.544056058,0.635843277,-0.616474271,0.967741668,0.458136052,0.70852834,0.901050985,0.969921291,1.012381315,0.387772888,1.028931618,1.180793762,0.671321511,0.896810532,1.166947126,1.173912764,0.775217593,0.641091466,0.577979505,-0.325607598,0.992649198,0.829883218,0.876204014,0.958599508,0.818252623,1.024668336,0.835726082
Pranlukast,0.978601694,1.061954856,0.902038217,0.681700349,0.811080694,0.819642782,0.853602469,1.098617315,1.187852383,0.596193433,0.531226277,1.041590571,1.083850622,1.094115257,1.033400416,0.940085888,0.832162619,0.638098776,0.783281446,0.315080345,0.935896337,0.921596825,0.867912173,1.223445535,0.981532812,0.47208789,1.058585405,0.829410076,0.78818953,0.813455224,0.692339599,0.996666968,1.052220345
Lidocaine,1.44949317,1.419856191,1.024032235,1.546819687,1.60448122,1.072259903,1.268722534,1.404203653,0.948180974,0.904186666,1.08122766,1.537434578,1.531900287,1.479480863,2.017184734,1.45013833,1.392266631,0.666334867,1.461643457,1.277712584,1.465592027,1.357569695,1.612281561,1.250633001,1.285606623,0.443932384,1.754228354,0.828562081,0.646021426,0.652805567,1.430010319,1.634213328,1.166353583
Naldemedine,1.531601906,1.239315748,1.307829022,0.927325845,1.275568962,1.103996396,0.807464182,1.47190702,0.466360182,0.741885483,0.494856983,1.532160044,1.221710324,1.324999213,1.332290769,1.687203288,0.698890805,0.015596369,0.425522238,0.820314944,1.130605102,0.570556402,0.816880822,1.028486609,0.669313788,0.108748704,1.138921499,0.827879667,0.4232364,0.625558376,0.972930133,0.784876227,0.978116393
Arformoterol,1.118511319,0.93385756,1.24224472,1.097667813,1.004503965,0.764445007,0.877521992,1.095233798,0.190272912,0.519328415,0.669660747,0.839394212,1.054436684,1.466528535,1.509542108,1.091595888,1.099786639,0.983956993,0.76872474,0.635331213,0.847327113,1.028225183,0.827380776,1.290617943,1.243807673,0.853063405,1.155401826,0.827788174,1.019703746,0.471750885,1.080706954,1.608309507,0.975142002
Dexamethasone isonicotinate,0.906898022,0.991484046,1.083593369,0.603713572,0.74980998,1.015463114,0.776721537,0.819989383,0.567874551,0.586692393,0.424421728,0.899090886,0.956468582,0.967725694,0.764527142,1.034851551,0.611100137,0.385394126,0.391341716,0.288415432,0.625893056,0.4650307,0.708530903,0.98490721,0.788888991,0.51061666,0.783554494,0.827551842,0.762010872,0.614368558,0.693671107,0.585277915,0.977435648
Tocilizumab,0.978451729,1.31779623,1.14215982,0.567878902,0.871435225,1.056416512,0.832537293,0.975304782,1.006879091,0.915668309,0.877617955,1.043436527,1.061031938,1.071494937,0.700177908,0.964456081,0.799973428,0.541510403,0.790360808,0.52737695,1.023334384,0.965242505,1.014924169,1.209438086,1.082465649,0.753463268,0.983114481,0.825586438,0.75900948,0.515504718,0.554402471,0.617141783,1.026614904
Forasartan,0.333806396,0.156875864,0.613125563,-0.239473984,1.080842853,0.411046803,-0.674601495,0.325466454,-2.361752748,0.042149536,0.303893477,0.361535132,0.148493871,0.31829223,0.228929907,0.723366737,0.961281896,-0.361899853,-0.053121604,0.040187307,0.239283159,0.137053937,-0.003275485,-0.959704399,0.800198078,0.395406693,0.69357872,0.825484514,0.072105139,-0.425444186,0.345102787,0.707529366,-0.600902557
Minaprine,0.313798875,0.020667568,0.475160062,0.727629125,0.896221817,0.105387531,0.684597671,0.394946843,0.02503974,0.219939932,0.389335424,0.516065359,0.559231102,0.528553963,0.965453088,0.953341603,0.253556252,0.350967199,0.208230659,0.518424928,-0.013856897,0.028120153,0.176524937,0.452534616,0.61399281,0.831974924,0.488463014,0.825427055,0.513402343,0.512416601,0.715389252,0.880881667,0.590060771
Lithium citrate,0.131202415,0.467377424,0.311826706,0.348140895,0.798088253,0.535461724,0.715382934,0.235589325,-0.175254807,0.427116096,0.318674177,0.531734645,0.571858048,0.121860661,0.232530251,0.725983441,0.086362772,-0.251711875,-0.096455529,0.011047757,-0.010628494,-0.307520568,0.158177614,-0.222646818,0.381800503,0.502564549,0.430920988,0.825269461,0.242889851,0.539344788,0.438849866,0.026284676,0.478781939
Phylloquinone,2.018267632,1.430143237,1.315302134,1.436854124,1.833992839,1.440720201,1.212459564,1.41907227,0.583033264,1.259760737,1.830410957,1.413997173,1.5374614,1.62925148,1.767478704,1.525340915,1.982100368,0.938342869,1.880859137,2.093509912,1.700775027,1.651023507,1.875547886,1.527884603,1.286701918,1.117286921,1.385665417,0.824863493,0.520551741,0.132044896,1.658153057,1.733867764,0.799938858
Guaiacol,1.388744593,1.277079225,1.728010416,1.191477895,0.947552323,1.299184918,1.338813186,1.322401881,-0.179622754,1.405708671,1.622878313,1.17624402,1.16881144,0.78080231,1.288300991,0.366304964,1.622904539,2.007367373,0.940027237,1.749450445,1.481999755,1.272540689,0.926914692,0.501008093,0.928977072,1.55002594,1.003813267,0.823441923,1.829480171,1.014792562,1.229024172,0.901804626,0.878590882
Oxolinic acid,0.517780364,0.702714205,0.468923748,0.80141753,0.539140046,0.950737834,0.95887512,0.610820591,-0.052779559,0.883666635,0.432226002,0.650323749,0.881761611,0.702930152,0.54568541,0.765910506,0.299924016,0.500936091,0.33434844,0.310095727,0.711922646,0.533132136,0.572358847,0.705259204,0.441707969,-0.015188109,0.691678643,0.823004842,0.747593939,0.945775628,0.605282962,0.558606386,0.862470806
Daratumumab,0.932495117,1.42993021,0.822350919,0.315790176,0.642935395,1.184864402,0.657876492,0.459751725,0.576020896,0.854354978,0.699998379,0.817457855,1.120168447,0.712857425,0.355390698,0.627657354,0.93181771,0.210906461,1.067654014,0.419574112,1.091686726,0.853003681,1.135990024,1.118110657,0.827894747,0.279634029,0.886489511,0.822510362,0.910775959,0.683904409,0.631887257,0.498549819,1.123805285
Telaprevir,0.99265039,1.46793282,1.344519138,-0.205356762,0.564419329,0.950084984,-0.023972401,0.726337731,0.300492465,0.593954921,-0.087436102,1.300492048,0.966584504,0.923646271,0.061299562,1.313974977,0.209405467,-0.550629854,0.029187636,-0.156221032,0.932366073,0.430201948,0.394362718,1.014456272,0.780428171,-0.455467731,0.911655486,0.82163322,0.524603426,0.768312275,0.115851693,-0.070046097,0.930434108
Ibutilide,1.080363393,1.101844311,0.813499331,0.944536686,1.128145456,0.577923536,0.445477247,0.251870453,-0.429648191,0.748692393,0.998936236,0.942018151,1.002377033,1.022226214,1.189690709,0.850730896,1.446304321,0.612651944,0.8984074,1.136322856,0.789191008,1.05423975,0.96051532,0.603716612,1.380644798,-0.016532514,1.415559053,0.821434319,0.663475573,0.54918009,1.148720264,1.35062623,0.553542614
1-3 Sugar Ring of Pentamannosyl 6-Phosphate,0.503837466,0.652101696,0.609764814,0.151134253,-0.027104953,0.57030344,0.447269529,0.223268211,0.123881772,0.089657791,-0.055484015,0.236329257,0.750868499,0.088361636,0.418369681,-0.065572366,0.686110377,0.588898897,0.015529056,-0.004880631,0.426499993,0.071205847,0.09261895,0.463205338,0.165726289,-0.036578882,0.452637047,0.820742905,1.365804195,0.855855584,0.423525065,0.341737479,0.974574327
Ro 12-7310,-0.164342731,0.284929514,-0.419021577,-0.485491186,0.171034917,0.206394076,-0.145245671,-0.029404892,0.106020577,0.130933225,-0.309319645,0.115587465,0.304613262,-0.043014731,-0.43141228,0.788323045,-0.523222089,-1.037850738,-0.129479349,-0.610253274,0.036249775,-0.333047152,-0.097765073,0.571868062,-0.070021853,-0.50186497,0.107840352,0.819535494,-0.227048665,-0.123715721,-0.495347947,-0.310179919,0.485301197
Pentoxifylline,1.854042888,1.706833243,1.177661538,2.070204496,1.914341211,1.38078928,1.659502983,2.004691124,1.452933669,1.691000342,2.04529047,1.747360706,1.584907651,2.07164669,2.258996964,1.665243387,1.866114378,1.480928659,1.958105803,1.955733299,1.89628315,2.181935072,2.187700748,1.665400863,1.834131479,1.255533218,1.951031566,0.819157362,0.289899796,0.382125109,1.63000989,1.975382447,0.942465127
Abaloparatide,0.967361331,1.165696859,1.611010313,0.462530375,1.12290144,1.097077131,0.981455564,1.386416793,0.362433642,0.946894586,1.354526043,0.98016268,1.130849123,0.721370161,0.752604067,0.479090512,1.475834012,1.270279646,1.053179383,0.971992016,1.348135352,1.100477934,0.946513057,0.484063834,1.020937443,1.724453807,0.815882683,0.819018483,1.234739065,0.887594342,0.640832722,0.697538614,0.878523469
Tiopronin,0.779645801,1.12601614,0.64533323,0.660989046,0.676885962,0.875145972,0.639686704,0.575097382,-0.060931768,0.869747519,0.607025087,0.831332266,0.807281792,1.053188205,0.721101582,0.905944288,0.738219619,0.183004171,0.286360174,0.502291381,0.650870085,0.726283133,0.573998034,0.691599786,0.91013968,0.211152315,0.996481657,0.818831205,0.158222705,0.315348297,0.526686251,0.663358092,0.657770753
N-Tridecanoic Acid,0.098728143,-0.493141621,0.546190679,0.868942499,0.618153095,0.458066851,0.532766342,0.975550175,-0.798580945,0.575847208,0.539575458,0.36620751,-0.117854171,0.489104003,0.661705136,0.167420223,0.3386859,1.494774699,0.139621496,0.46031642,0.313018709,0.484517574,0.102691405,-0.532384157,0.76781708,1.390652299,0.399306178,0.818133116,0.861933947,0.671769321,0.600947559,0.907528758,-0.15925163
Navitoclax,0.431300044,0.782803118,0.405705422,0.329522073,0.478179574,0.627762437,0.837720871,0.521017492,1.216748714,0.853590429,0.528046012,0.673182189,0.566742957,0.229231432,0.132572964,0.554457664,0.067933716,0.028630883,0.720345318,0.560490787,0.706017792,0.3051247,0.577857137,0.87000078,0.216029793,0.638294756,0.367203176,0.817924321,0.618608892,0.722373545,0.346402138,-0.063292429,1.150322795
Tobramycin,0.358652234,0.330666482,-0.058368437,1.031195879,0.024810161,0.184443608,0.05402337,-0.265631944,-1.879666924,0.845348001,0.152138174,0.452460974,0.065109991,1.021323919,0.768088162,0.818373084,0.088358276,0.531842291,-0.326197535,0.633515477,-0.060254578,0.516224027,-0.326611072,0.468078375,0.824667573,-0.621040046,0.843037367,0.817791462,0.27131471,0.198180839,0.512655258,0.913083375,0.470451623
Golimumab,0.9243384,1.34040761,0.799366057,0.743629932,0.759843767,1.006364703,0.867395461,0.827893794,1.01806891,0.837123156,0.918178618,0.880288959,1.037249565,1.037644029,0.861342013,0.667218149,1.087131858,0.699089408,0.970651805,0.520698845,1.009007335,1.097248554,1.164738059,1.135231733,1.139161229,0.586086929,1.102993965,0.817709506,0.724735141,0.507977128,0.692934275,0.919124186,1.031982183
Phenacemide,0.832256138,0.63636595,1.208184958,1.455471992,1.436798811,0.658017457,1.285309672,1.391107321,0.618507028,1.067080498,1.085233569,1.368152499,1.047994494,1.389811635,1.59280169,1.704122305,0.345005363,1.024897933,0.84194535,1.335640669,0.898069739,0.961223364,0.91857475,1.215601921,1.211633801,1.387839079,1.120742679,0.817326248,0.512648344,0.574309289,1.100469708,1.142594457,0.841650426
Metocurine,0.07865072,-0.047923934,0.200211823,-0.00349377,0.079445772,-0.109490789,-0.253836036,-0.525112987,-1.230102897,-0.363814116,-0.556041062,0.089711487,0.176328316,0.264315158,0.311792552,0.546313345,-0.08284647,-0.072385319,-0.730821192,-0.318450928,-0.541095018,-0.621275365,-0.654583573,0.148975387,0.226311043,-0.381244779,0.256674856,0.817323565,0.449468613,0.204344556,0.213285074,0.378630072,0.415094823
Revefenacin,0.107094139,0.870262384,0.146062508,-0.358641833,0.115412101,0.341311067,0.040300325,-0.373270452,-0.220395595,-0.601722598,-0.690058649,0.172555178,0.922977567,-0.093179755,0.311952919,0.428274781,0.215358958,-0.917330682,-0.295612723,-0.851504445,0.077579752,-0.703442693,-0.025014631,0.538399458,0.029689534,-0.756375611,0.525743067,0.816447258,0.395895272,-0.027942054,-0.038754605,0.035066955,1.075779676
Estradiol benzoate,0.703322351,0.826449633,0.548013985,0.330856323,0.920717239,0.918842375,0.668929935,1.000883698,0.594257951,0.582289875,0.248221934,0.924381554,1.016467094,0.542717993,0.436251163,1.093449831,0.230289429,-0.341176778,0.522759378,-0.000571516,0.883863688,0.259397924,0.678316951,0.684998035,0.36040771,0.0606759,0.715771496,0.816247642,0.481553763,0.787875772,0.44182685,0.247290581,0.896803617
Trimebutine,0.323530406,0.427408636,0.234461054,0.495807856,0.312623143,0.337949932,0.378805667,0.032608252,-0.412099391,-0.092860252,-0.539066076,0.409247428,0.747294962,0.472956181,0.780172408,0.889754891,0.074866854,-0.324854255,-0.407928199,-0.224557832,0.051489864,-0.36248669,-0.058418378,0.555002391,0.189385265,-0.771203399,0.646549046,0.815790415,0.34972617,0.490298957,0.475018203,0.536853194,0.910433114
Theophylline,1.23841989,1.320262909,1.534798026,1.40108037,1.124476314,1.069673538,1.407710075,1.466059923,1.393957853,1.017587543,1.191203475,1.265930057,1.240507007,1.586081505,1.609587789,1.041910887,1.288783073,1.561339021,1.230635762,1.043142676,1.285258532,1.562791705,1.415986896,1.506862998,1.648308039,1.19193244,1.469255209,0.815787673,1.209413052,0.713571548,1.152511597,1.556317568,1.088636518
Streptokinase,0.90115267,0.697004139,0.260493904,0.54895854,1.12146759,0.390189171,0.221717581,0.299671829,-0.151492819,0.836156368,1.187432408,0.755316794,0.351461112,0.946220934,0.525358319,1.04970479,0.923740566,0.112211332,0.746547878,0.885046422,0.305101067,0.83348912,0.739470363,0.670375884,1.175850272,0.743212759,0.695534587,0.815395832,-0.075124085,-0.016150236,0.678831518,1.001036167,0.03105488
Lonidamine,0.475927532,0.437305748,0.452270389,-0.041253485,0.51959759,0.473056406,0.223092794,0.386704773,0.304484099,0.312334359,-0.068993345,0.675565362,0.588266671,0.3227171,0.041169252,1.129868031,-0.371190667,-0.583939552,0.053306486,0.143979698,0.373986304,-0.228071004,0.125171825,0.974885643,-0.033371918,-0.093221448,0.187438056,0.81450063,0.274445415,0.270222455,0.13834326,-0.162544325,0.781104147
Mepivacaine,0.589013278,0.830941141,0.557993114,0.496092707,0.778898001,0.380864203,0.393147886,0.312186092,-0.079244524,0.267097294,0.303192705,0.823161125,1.052371144,0.759275138,1.135253668,0.946858823,0.609606385,0.084458299,0.375598729,0.456604868,0.686231196,0.4834041,0.570300281,0.825874329,0.784090638,-0.113866054,1.108239412,0.814146698,0.271404892,0.175471291,0.473103046,0.886589468,0.920522332
"(2E,4R,5S)-2,3,4,5-TETRAHYDROXY-6-(PALMITOYLOXY)HEX-2-ENOIC ACID",-0.43043375,0.061029829,-0.197197303,-0.434856176,-0.452160895,0.09642636,-0.508716047,-0.351404309,-0.731976032,-0.110741951,-0.570140541,-0.183399394,0.081649497,-0.303007364,-0.221627668,-0.251781136,0.199400112,-0.298150569,-0.419970334,-0.474922538,0.048627935,-0.05358563,-0.500435591,-0.290509552,-0.097743914,-0.813721895,0.219544634,0.812808335,0.323939174,0.233465627,-0.468927771,0.011770803,0.362909377
Pheniramine,0.873714209,0.833001256,0.407697141,1.345856547,0.411684841,0.519372523,0.867465079,0.384034455,0.049156006,0.67430228,0.009747017,1.013966918,1.10282433,1.127150655,1.418920875,1.129062891,0.478262752,0.597092569,0.526915491,0.722113371,0.698256671,0.703569293,0.574336231,1.416885734,0.619727612,-0.874891162,1.207367182,0.812788785,0.871145487,1.241523743,1.176664829,1.254522085,1.448547602
Ceftobiprole,0.236988932,0.735021651,0.43434,0.175914571,0.135434076,0.661171317,-0.209174201,-0.257616669,-0.789034605,0.784204364,-0.132114798,0.542096019,0.469912499,1.255103707,-0.029394934,1.427205443,-0.561225772,-0.607716441,-0.108752318,0.072221756,0.278477401,0.459056377,0.224078536,1.447802305,0.987715483,-0.251068681,0.596269011,0.812691808,-0.167791158,-0.30812937,0.097301401,0.290982366,0.655238271
Efonidipine,0.703629494,0.986912966,0.870070994,0.358370692,0.568811715,0.637660265,0.354615629,0.402035207,-0.444816887,0.296680212,0.139779806,0.769661605,0.846451342,0.647866309,0.74124974,0.802120984,0.688271642,0.057335071,-0.072779506,0.143908158,0.392468989,0.150224268,0.249385282,0.43707791,0.623804927,0.003233338,0.831522942,0.812084615,0.647986829,0.338983625,0.455256522,0.457314491,0.791358232
Clomethiazole,0.44790861,0.742626667,0.808475375,0.666874051,0.834531963,0.52183789,0.831514895,0.890251637,1.080869198,0.554331124,0.082531527,1.186257958,0.977788568,0.710502326,0.774995863,1.480684996,-0.334238917,-0.305598468,0.188075766,0.416951358,0.64938122,0.08452639,0.496468872,1.12375927,0.506450891,0.206522375,0.800365508,0.812022209,0.260372013,0.644534647,0.493359119,0.119482756,1.071693182
Fludeoxyglucose (18F),0.848739088,1.091810346,0.671547353,0.281881869,0.888421774,0.950036049,0.500922322,-0.037540421,0.038045611,0.335604072,0.337687701,0.808779776,1.329626918,0.521328211,0.723082602,0.76300931,1.077100873,-0.374791443,0.919308126,0.525934219,0.817516565,0.376038164,1.019726872,0.906666756,0.820981741,-0.06566792,1.052300334,0.810827255,0.538771629,0.429094404,0.803426027,0.721712053,1.060801625
Cetuximab,0.715128005,0.840118527,0.515662014,0.158066407,0.749631464,0.474227399,0.431534827,0.343622684,0.988406777,0.719244003,1.022992015,0.505814731,0.634114802,0.566181123,0.223535165,0.534894407,0.859987259,0.513549447,1.087051988,0.521081805,0.664541602,0.892459929,0.855108202,1.124146461,1.024907589,0.769604385,0.638278067,0.810810626,0.717983127,0.392683089,0.314213008,0.717301071,0.764210999
Icaridin,-0.676845968,-0.503441513,1.631574154,0.086736389,-0.872569978,1.71789372,0.350029498,1.182479262,-1.767836213,0.658885121,-1.59769702,0.566735506,0.669957697,-0.429193825,-0.227296203,-0.421859533,-1.090657949,1.045775175,-1.452608585,0.108219303,1.918520212,-0.519519567,-0.608864844,-0.400621086,-0.668001413,-0.190680683,-0.13969332,0.810681403,1.244086266,2.116434813,-0.623077154,-1.058998346,0.861080825
Estradiol acetate,0.735403001,0.914460838,0.533258259,0.334080607,0.968593478,0.898408413,0.668315768,0.934939086,0.503840387,0.530207217,0.281160921,0.90543896,1.027490616,0.544816256,0.511270642,1.059085131,0.364158183,-0.427038997,0.536803186,0.01528242,0.849749446,0.253260344,0.702203691,0.597747803,0.391146421,0.037132651,0.777285755,0.810019553,0.395029962,0.680386364,0.470366955,0.312743425,0.891203582
Estradiol dienanthate,0.749092162,0.916346073,0.794945717,0.445447505,1.112015605,0.996610999,0.839664519,1.025031328,0.534569561,0.560657859,0.343756557,1.007219672,1.078603268,0.584716499,0.609988034,1.145795822,0.382369965,-0.305684239,0.523820817,0.127811819,0.879167855,0.246490672,0.769753933,0.545944989,0.520690143,0.211056352,0.876570761,0.809557974,0.512560427,0.653962612,0.59030354,0.31484431,0.853800654
Ethyl Oxo(Piperidin-1-Yl)Acetate,0.235325336,0.236148417,0.796446562,0.384189457,0.1737324,0.739821136,0.657781422,0.501794934,0.086118095,0.38595438,0.235830277,0.198668391,0.251975119,0.340471238,0.173288211,0.160290897,0.473832846,0.810025454,0.012141712,-0.0008633,0.085641555,0.182996839,0.130476952,0.084987305,0.550783694,0.833072603,0.3039518,0.809161901,1.261482358,0.698098361,0.49447161,0.343734264,0.491761535
Prazosin,1.687975287,0.924513936,1.215535045,1.634309173,2.018729687,0.853637576,1.17901969,1.108530641,0.733185887,1.17707777,1.95927,1.457176089,0.971373618,1.359413385,1.6225456,1.283575892,1.844518661,1.123034596,1.919970274,2.078205347,0.897280931,1.413045645,1.724708319,0.61787194,1.734525323,1.633913279,1.318948865,0.808878064,0.858431399,0.983281851,2.157237291,1.806202173,0.36800608
Resorcinol,0.549642444,1.196552038,0.584639847,0.16281423,0.337983847,0.870917857,0.536647975,0.150249287,-0.268048257,0.417717397,0.395803243,0.345981032,0.909710526,0.507472456,0.509483576,0.223915115,0.963160992,0.087833688,0.440315574,0.194749773,0.661779583,0.465586722,0.493414521,0.55721271,0.528516829,0.307692528,0.698990643,0.808866858,0.609750569,0.170473039,0.271062851,0.48911038,1.029689789
Dexrabeprazole,0.909722149,1.323719621,0.834038436,0.693196058,0.928468049,1.192529798,1.075230718,0.861034632,0.197513774,0.906144679,0.777326345,0.925979793,1.133558035,0.844187617,0.719982266,0.995396852,0.791828275,0.401576251,0.702917814,0.394747198,1.006329417,0.717286646,0.864629865,0.938182354,0.73502785,0.375562191,1.039578319,0.807354808,0.755367339,0.344756573,0.653619587,0.506393552,0.921297193
Artemisinin,0.393850178,1.388978124,0.564902246,0.457110435,0.483147144,0.78310889,0.875090361,0.291504115,0.490316838,0.652669609,0.249792188,0.96246469,1.219266534,0.146268666,0.602241397,0.532298803,0.448898166,-0.117043659,0.442573071,0.4477382,1.008738756,0.247601271,0.620941162,0.751964569,0.334292769,-0.438584954,1.030734658,0.806854486,0.734298468,0.764432609,0.328437418,-0.031570479,1.403758764
Candicidin,0.482596934,0.861394346,0.637906373,-0.30416891,0.042343013,0.464202285,-0.394130081,0.147682339,-0.593070567,0.199036777,-0.229584783,0.577066302,0.356589735,0.627651632,0.131533235,0.568289816,0.394474089,-0.139744446,-0.206451043,-0.289654493,0.313128769,0.250125557,-0.224028975,0.533859789,0.595474899,-0.062729023,0.632767975,0.806353509,0.364144295,0.109611101,-0.235413313,0.11169222,0.764995217
Menthyl salicylate,-1.932788253,-1.024651408,-0.89136529,-0.217312142,-0.671470761,-0.129153416,-0.599953651,-1.171212077,-2.202667713,-0.649936676,-1.128018737,-1.003249764,0.037667401,-0.863296986,-0.166095898,-0.476709366,-0.884462357,-0.501619399,-0.873298407,-0.979168713,-0.012632214,-0.748578429,-0.323236614,-0.706528187,-0.263937771,-0.865258217,-0.028441349,0.806112587,-0.291041225,-0.618557751,-0.579830945,0.26431331,-0.006207313
Irofulven,0.04265637,0.710765541,0.530649662,-0.631320357,-0.135636181,0.234462768,-0.105334498,-0.473605841,-0.529112637,-0.009421533,-0.105329745,-0.020865979,0.626489699,-0.35663721,-0.21975325,0.156660929,-0.077780508,-0.473372579,-0.051307585,0.061275668,0.421093494,-0.334909141,-0.170606241,0.824716389,-0.269376338,0.062110182,0.015306619,0.80605489,0.922978401,-0.329781175,-0.346113354,-0.32577464,1.068203807
Isosorbide mononitrate,1.554615378,1.187002778,1.042769551,0.880834281,1.581673741,0.877954543,0.266605943,0.855991423,-0.887959421,0.827446699,1.433932066,1.021738648,0.891959071,1.297064662,1.32345295,1.15005219,1.959712744,0.430848241,1.024555087,1.407891989,1.039915085,1.21825099,1.093859673,0.438110232,1.410810947,0.565145135,1.403545499,0.80604887,0.271442056,-0.342181981,1.186264396,1.4289639,0.117663093
Protokylol,0.115998141,-0.17368181,0.623675644,-0.160832688,0.03310775,-0.047201127,-0.094591722,-0.132590845,-0.542217076,-0.495748103,-0.499331355,0.023563543,0.280707091,0.062349614,0.337086618,0.059678335,0.248828083,0.429063022,-0.615098238,-0.339722425,-0.376160681,-0.519091427,-0.553951919,0.070132054,0.300684541,0.330824435,0.066201061,0.805595279,0.874251425,0.642436326,0.181540415,0.431899846,0.531026423
Trihexyphenidyl,-0.046092927,-0.136218175,0.074190445,0.870880604,0.587642848,-0.260461271,0.781680226,-0.238290727,-0.095897429,-0.186736807,-0.059139237,0.122068331,0.617112875,0.32289055,1.16071856,0.912810743,0.008591755,0.087423578,0.079062991,0.253247559,-0.442569405,-0.364712864,-0.027031098,0.679986238,0.460852146,0.209088191,0.556486487,0.804790139,0.556024611,0.094341636,0.777689219,0.995907187,0.857750118
Ergoloid mesylate,0.819024444,0.22268112,0.76022017,1.055253863,1.207689524,0.389787167,0.801692963,0.888180733,0.106083125,0.596216023,0.791967392,0.98183018,0.622307777,0.943367481,1.20925808,1.13568902,0.668069541,0.819278061,0.543635786,0.942107677,0.318317503,0.463169575,0.496616036,0.451471031,0.891725004,1.051780939,0.696539342,0.804527044,0.613402486,0.83748889,1.112919927,1.123062968,0.452661902
Bromo-Willardiine,0.700758874,0.636389375,1.044543982,0.477667063,0.412726462,0.599095821,0.511638582,0.6739645,-0.122485377,0.520268261,0.477338612,0.700691938,0.733534813,0.626948178,0.679207742,0.421062946,0.761483669,0.969613671,0.172047526,0.481164694,0.654824018,0.636295378,0.234957993,0.4753021,0.702167869,0.366683602,0.749828458,0.804021835,1.294770718,0.786855161,0.563768744,0.644598842,0.630198598
Posaconazole,1.189265013,1.886052847,0.461032033,0.499423504,-0.084994823,1.393656611,0.216357246,-0.655537903,-0.018531462,1.240039706,0.119449966,0.574191868,0.694606662,1.278402686,-0.118669018,1.000653744,0.533816338,-0.236697823,0.721465647,0.593435287,0.635641277,0.823355794,0.721918404,1.912205935,0.876515985,-1.307631373,0.889648199,0.803752601,0.397621155,0.621884942,0.617595673,0.213757589,1.504192591
Entrectinib,1.217197895,1.504005432,0.971181512,0.702235878,0.754039228,1.175647736,1.126627207,0.697339654,1.150409818,0.616219223,0.486788958,1.000527024,1.615288496,0.744525313,1.022133827,0.715192676,1.014168739,0.411022723,1.294183254,0.672957242,1.414827228,0.802767396,1.293304801,1.706499577,0.637457848,-0.060112532,1.036622167,0.802399278,1.331966281,1.110342383,0.993695617,0.86892283,1.734760404
Human rabies virus immune globulin,-0.82751286,0.141915351,0.606404066,-1.281114817,-1.939356208,0.629845619,-0.501884937,-1.481131434,-0.192320421,-0.282481343,-1.613016963,-0.946122646,-0.758278608,-0.254436523,-1.805785775,-0.482449293,-1.728873849,-0.384165168,-2.523677588,-1.795138836,-1.3005687,-1.71767664,-1.670493245,0.496859968,-0.588252723,-0.04101865,-1.198067188,0.802364826,0.53416127,-0.143332139,-1.453282237,-2.04738903,0.928349614
Tranylcypromine,1.294977546,0.850368202,1.157350063,1.654231071,1.702957749,0.630213439,1.418297052,1.408753633,0.958129704,1.030639052,1.33092618,1.51239872,1.222033024,1.407944441,1.945583582,1.699142456,0.944976926,0.933025837,1.264750361,1.652051806,0.979372382,1.115569949,1.244728804,1.274397016,1.326856852,1.288025618,1.339807272,0.802174509,0.622284532,0.650616586,1.515793085,1.515259504,0.939248502
N-Pyridoxyl-2-Methylalanine-5-Phosphate,-0.327095687,-0.839486361,-0.181840464,-0.527515173,-0.798747897,-0.278496414,-0.5165295,-0.253001809,0.256112099,-0.587833226,-0.938312948,-0.436076581,-0.815576792,-0.789547086,-0.624045491,-0.655695438,-0.250292569,0.25182876,-1.137281179,-0.611620665,-1.106406093,-1.146541357,-1.373266339,-1.024090886,-0.667292833,-0.10846971,-0.711449802,0.801919043,0.745943248,0.881292462,-0.26308471,-0.554258585,0.00993404
Eculizumab,1.690811276,1.378227711,0.840871096,1.273410201,1.047135353,1.320303917,1.385627389,0.936413229,2.45303154,1.267108202,1.398980498,0.977754414,1.265307903,1.78057611,1.106907248,1.274958611,1.252855182,0.928872347,1.915822506,1.324721932,1.209528446,1.663939118,1.879123092,2.510456324,1.273692608,0.602956891,1.05473125,0.801104784,0.764872134,0.794571161,1.424262881,1.575535178,1.434356689
